EMPLOYEE_ID , FIRST_NAME  , LAST_NAME   , EMAIL    , PHONE_NUMBER       , HIRE_DATE  , JOB_ID     , SALARY   
100, Steven      , King        , SKING    , 515.123.4567       , 1987-06-17 , AD_PRES    ,24000
101, Neena       , Kochhar     , NKOCHHAR , 515.123.4568       , 1987-06-18 , AD_VP      ,17000
102, Lex         , De Haan     , LDEHAAN  , 515.123.4569       , 1987-06-19 , AD_VP      ,17000
103, Alexander   , Hunold      , AHUNOLD  , 590.423.4567       , 1987-06-20 , IT_PROG    ,9000
104, Bruce       , Ernst       , BERNST   , 590.423.4568       , 1987-06-21 , IT_PROG    ,6000
105, David       , Austin      , DAUSTIN  , 590.423.4569       , 1987-06-22 , IT_PROG    ,4800
106, Valli       , Pataballa   , VPATABAL , 590.423.4560       , 1987-06-23 , IT_PROG    ,4800
107, Diana       , Lorentz     , DLORENTZ , 590.423.5567       , 1987-06-24 , IT_PROG    ,4200
108, Nancy       , Greenberg   , NGREENBE , 515.124.4569       , 1987-06-25 , FI_MGR     ,12000
109, Daniel      , Faviet      , DFAVIET  , 515.124.4169       , 1987-06-26 , FI_ACCOUNT ,9000
110, John        , Chen        , JCHEN    , 515.124.4269       , 1987-06-27 , FI_ACCOUNT ,8200
111, Ismael      , Sciarra     , ISCIARRA , 515.124.4369       , 1987-06-28 , FI_ACCOUNT ,7700
112, Jose Manuel , Urman       , JMURMAN  , 515.124.4469       , 1987-06-29 , FI_ACCOUNT ,7800
113, Luis        , Popp        , LPOPP    , 515.124.4567       , 1987-06-30 , FI_ACCOUNT ,6900
114, Den         , Raphaely    , DRAPHEAL , 515.127.4561       , 1987-07-01 , PU_MAN     ,11000
115, Alexander   , Khoo        , AKHOO    , 515.127.4562       , 1987-07-02 , PU_CLERK   ,3100
116, Shelli      , Baida       , SBAIDA   , 515.127.4563       , 1987-07-03 , PU_CLERK   ,2900
117, Sigal       , Tobias      , STOBIAS  , 515.127.4564       , 1987-07-04 , PU_CLERK   ,2800
118, Guy         , Himuro      , GHIMURO  , 515.127.4565       , 1987-07-05 , PU_CLERK   ,2600
119, Karen       , Colmenares  , KCOLMENA , 515.127.4566       , 1987-07-06 , PU_CLERK   ,2500
120, Matthew     , Weiss       , MWEISS   , 650.123.1234       , 1987-07-07 , ST_MAN     ,8000
121, Adam        , Fripp       , AFRIPP   , 650.123.2234       , 1987-07-08 , ST_MAN     ,8200
122, Payam       , Kaufling    , PKAUFLIN , 650.123.3234       , 1987-07-09 , ST_MAN     ,7900
123, Shanta      , Vollman     , SVOLLMAN , 650.123.4234       , 1987-07-10 , ST_MAN     ,6500
124, Kevin       , Mourgos     , KMOURGOS , 650.123.5234       , 1987-07-11 , ST_MAN     ,5800
125, Julia       , Nayer       , JNAYER   , 650.124.1214       , 1987-07-12 , ST_CLERK   ,3200
126, Irene       , Mikkilineni , IMIKKILI , 650.124.1224       , 1987-07-13 , ST_CLERK   ,2700
127, James       , Landry      , JLANDRY  , 650.124.1334       , 1987-07-14 , ST_CLERK   ,2400
128, Steven      , Markle      , SMARKLE  , 650.124.1434       , 1987-07-15 , ST_CLERK   ,2200
129, Laura       , Bissot      , LBISSOT  , 650.124.5234       , 1987-07-16 , ST_CLERK   ,3300
130, Mozhe       , Atkinson    , MATKINSO , 650.124.6234       , 1987-07-17 , ST_CLERK   ,2800
131, James       , Marlow      , JAMRLOW  , 650.124.7234       , 1987-07-18 , ST_CLERK   ,2500
132, TJ          , Olson       , TJOLSON  , 650.124.8234       , 1987-07-19 , ST_CLERK   ,2100
133, Jason       , Mallin      , JMALLIN  , 650.127.1934       , 1987-07-20 , ST_CLERK   ,3300
134, Michael     , Rogers      , MROGERS  , 650.127.1834       , 1987-07-21 , ST_CLERK   ,2900
135, Ki          , Gee         , KGEE     , 650.127.1734       , 1987-07-22 , ST_CLERK   ,2400
136, Hazel       , Philtanker  , HPHILTAN , 650.127.1634       , 1987-07-23 , ST_CLERK   ,2200
137, Renske      , Ladwig      , RLADWIG  , 650.121.1234       , 1987-07-24 , ST_CLERK   ,3600
138, Stephen     , Stiles      , SSTILES  , 650.121.2034       , 1987-07-25 , ST_CLERK   ,3200
139, John        , Seo         , JSEO     , 650.121.2019       , 1987-07-26 , ST_CLERK   ,2700
140, Joshua      , Patel       , JPATEL   , 650.121.1834       , 1987-07-27 , ST_CLERK   ,2500
141, Trenna      , Rajs        , TRAJS    , 650.121.8009       , 1987-07-28 , ST_CLERK   ,3500
142, Curtis      , Davies      , CDAVIES  , 650.121.2994       , 1987-07-29 , ST_CLERK   ,3100
143, Randall     , Matos       , RMATOS   , 650.121.2874       , 1987-07-30 , ST_CLERK   ,2600
144, Peter       , Vargas      , PVARGAS  , 650.121.2004       , 1987-07-31 , ST_CLERK   ,2500
145, John        , Russell     , JRUSSEL  , 011.44.1344.429268 , 1987-08-01 , SA_MAN     ,14000
146, Karen       , Partners    , KPARTNER , 011.44.1344.467268 , 1987-08-02 , SA_MAN     ,13500
147, Alberto     , Errazuriz   , AERRAZUR , 011.44.1344.429278 , 1987-08-03 , SA_MAN     ,12000
148, Gerald      , Cambrault   , GCAMBRAU , 011.44.1344.619268 , 1987-08-04 , SA_MAN     ,11000
149, Eleni       , Zlotkey     , EZLOTKEY , 011.44.1344.429018 , 1987-08-05 , SA_MAN     ,10500
150, Peter       , Tucker      , PTUCKER  , 011.44.1344.129268 , 1987-08-06 , SA_REP     ,10000
151, David       , Bernstein   , DBERNSTE , 011.44.1344.345268 , 1987-08-07 , SA_REP     ,9500
152, Peter       , Hall        , PHALL    , 011.44.1344.478968 , 1987-08-08 , SA_REP     ,9000
153, Christopher , Olsen       , COLSEN   , 011.44.1344.498718 , 1987-08-09 , SA_REP     ,8000
154, Nanette     , Cambrault   , NCAMBRAU , 011.44.1344.987668 , 1987-08-10 , SA_REP     ,7500
155, Oliver      , Tuvault     , OTUVAULT , 011.44.1344.486508 , 1987-08-11 , SA_REP     ,7000
156, Janette     , King        , JKING    , 011.44.1345.429268 , 1987-08-12 , SA_REP     ,10000
157, Patrick     , Sully       , PSULLY   , 011.44.1345.929268 , 1987-08-13 , SA_REP     ,9500
158, Allan       , McEwen      , AMCEWEN  , 011.44.1345.829268 , 1987-08-14 , SA_REP     ,9000
159, Lindsey     , Smith       , LSMITH   , 011.44.1345.729268 , 1987-08-15 , SA_REP     ,8000
160, Louise      , Doran       , LDORAN   , 011.44.1345.629268 , 1987-08-16 , SA_REP     ,7500
161, Sarath      , Sewall      , SSEWALL  , 011.44.1345.529268 , 1987-08-17 , SA_REP     ,7000
162, Clara       , Vishney     , CVISHNEY , 011.44.1346.129268 , 1987-08-18 , SA_REP     ,10500
163, Danielle    , Greene      , DGREENE  , 011.44.1346.229268 , 1987-08-19 , SA_REP     ,9500
164, Mattea      , Marvins     , MMARVINS , 011.44.1346.329268 , 1987-08-20 , SA_REP     ,7200
165, David       , Lee         , DLEE     , 011.44.1346.529268 , 1987-08-21 , SA_REP     ,6800
